domain,domain_length,domain_entropy,numeric_ratio,special_char_ratio,vowel_ratio,consonant_ratio,dns_record_type,ip_count,has_mx_response,has_txt_dns_response,has_spf_info,has_dkim_info,has_dmarc_info,label
http://117.204.167.223:53726/i,30,3.739572261986723,0.5666666666666667,0.26666666666666666,0.03333333333333333,0.13333333333333333,0,0,False,False,False,False,False,1
cs-sgs.com,10,2.6464393446710153,0.0,0.2,0.1,0.7,0,0,False,False,False,False,False,1
apple.appleidky.xyz,19,3.300559092390955,0.0,0.10526315789473684,0.2631578947368421,0.631578947368421,0,0,False,False,False,False,False,1
att-102536.weeblysite.com,25,4.183465189601646,0.24,0.12,0.24,0.4,0,0,False,False,False,False,False,1
http://219.157.246.130:39071/bin.sh,35,4.0791433740260095,0.4857142857142857,0.2571428571428571,0.02857142857142857,0.22857142857142856,0,0,False,False,False,False,False,1
http://61.1.235.24:45575/Mozi.m,31,3.962103165155795,0.41935483870967744,0.2903225806451613,0.06451612903225806,0.22580645161290322,0,0,False,False,False,False,False,1
dikmnsvdbrgfhdf.weebly.com,26,4.132944044980959,0.0,0.07692307692307693,0.15384615384615385,0.7692307692307693,0,0,False,False,False,False,False,1
http://159.100.30.224/main_m68k,31,4.235981390822668,0.41935483870967744,0.25806451612903225,0.06451612903225806,0.25806451612903225,0,0,False,False,False,False,False,1
aranewmark.211credit.com,24,3.772055208874201,0.125,0.08333333333333333,0.2916666666666667,0.5,0,0,False,False,False,False,False,1
790007.weebly.com,17,3.454822399946607,0.35294117647058826,0.11764705882352941,0.17647058823529413,0.35294117647058826,0,0,False,False,False,False,False,1
http://5.237.220.111:40749/i,28,3.770942421748537,0.5357142857142857,0.2857142857142857,0.03571428571428571,0.14285714285714285,0,0,False,False,False,False,False,1
ccertyary.000webhostapp.com,27,3.8100810205217313,0.1111111111111111,0.07407407407407407,0.2222222222222222,0.5925925925925926,0,0,False,False,False,False,False,1
claimz-dana-kagetz-www.payfr.my.id,34,4.0323362829877745,0.0,0.17647058823529413,0.23529411764705882,0.5882352941176471,0,0,False,False,False,False,False,1
distinguishedsongtragedy.tumblr.com,35,4.050013373778756,0.0,0.05714285714285714,0.2857142857142857,0.6571428571428571,0,0,False,False,False,False,False,1
583119.selcdn.ru,16,3.75,0.375,0.125,0.125,0.375,0,0,False,False,False,False,False,1
claimskinmlcood.duckdns.org,27,3.7080481500712317,0.0,0.07407407407407407,0.25925925925925924,0.6666666666666666,0,0,False,False,False,False,False,1
http://115.58.63.216:38703/i,28,3.770942421748537,0.5357142857142857,0.2857142857142857,0.03571428571428571,0.14285714285714285,0,0,False,False,False,False,False,1
https://fundrescuetech.com/XbcEr4Er3/Pikachu,44,4.382520755336066,0.045454545454545456,0.13636363636363635,0.25,0.5681818181818182,0,0,False,False,False,False,False,1
account.com.mx,14,3.039148671903071,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,0,False,False,False,False,False,1
business-help-0001267537.firebaseapp.com,40,4.384183719779188,0.25,0.1,0.25,0.4,0,0,False,False,False,False,False,1
bordeaux-ll.glitch.me,21,3.975418017913833,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,0,False,False,False,False,False,1
atuin.org,9,3.169925001442312,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0,0,False,False,False,False,False,1
coda4paymn3yehgtk1.bpdy.biz.id,30,4.164735178725505,0.1,0.1,0.2,0.6,0,0,False,False,False,False,False,1
bafybeidksmrgovkwckiuyqktslnt5gwd4d57xnlrmzrthfp45yfiellgqm.ipfs.dweb.link,74,4.670432129827977,0.08108108108108109,0.04054054054054054,0.14864864864864866,0.7297297297297297,0,0,False,False,False,False,False,1
elated-laser-erica.glitch.me,28,3.6245186549588992,0.0,0.14285714285714285,0.35714285714285715,0.5,0,0,False,False,False,False,False,1
cscca.gouv.ht,13,3.180832987205441,0.0,0.15384615384615385,0.23076923076923078,0.6153846153846154,0,0,False,False,False,False,False,1
ewsten.weebly.com,17,3.381580488309164,0.0,0.11764705882352941,0.29411764705882354,0.5882352941176471,0,0,False,False,False,False,False,1
http://175.168.148.23:39970/bin.sh,34,4.160704752887783,0.47058823529411764,0.2647058823529412,0.029411764705882353,0.23529411764705882,0,0,False,False,False,False,False,1
exciting-decisive-astronomy.glitch.me,37,4.044063758094795,0.0,0.10810810810810811,0.32432432432432434,0.5675675675675675,0,0,False,False,False,False,False,1
btinternet-106850.weeblysite.com,32,4.0746987351738495,0.1875,0.09375,0.25,0.46875,0,0,False,False,False,False,False,1
bluhisbx.weebly.com,19,3.6818808028034042,0.0,0.10526315789473684,0.2631578947368421,0.631578947368421,0,0,False,False,False,False,False,1
http://117.209.240.252:38742/i,30,3.802910079649727,0.5666666666666667,0.26666666666666666,0.03333333333333333,0.13333333333333333,0,0,False,False,False,False,False,1
11c6a.trk.elasticemail.com,26,3.6902603909683838,0.11538461538461539,0.11538461538461539,0.3076923076923077,0.46153846153846156,0,0,False,False,False,False,False,1
att-102753.square.site,22,3.879664004902594,0.2727272727272727,0.13636363636363635,0.2727272727272727,0.3181818181818182,0,0,False,False,False,False,False,1
currentlyattyahooservicesupgrade.weebly.com,43,4.1405853938847885,0.0,0.046511627906976744,0.3488372093023256,0.6046511627906976,0,0,False,False,False,False,False,1
http://117.241.61.245:46661/bin.sh,34,3.760421209521994,0.47058823529411764,0.2647058823529412,0.029411764705882353,0.23529411764705882,0,0,False,False,False,False,False,1
bt-101367.weeblysite.com,24,4.053508854797679,0.25,0.125,0.20833333333333334,0.4166666666666667,0,0,False,False,False,False,False,1
att-102981-108821.weeblysite.com,32,4.054229296672174,0.375,0.125,0.1875,0.3125,0,0,False,False,False,False,False,1
chaseyahoo.weebly.com,21,3.4632805178108104,0.0,0.09523809523809523,0.38095238095238093,0.5238095238095238,0,0,False,False,False,False,False,1
arab-acrao.net,14,3.093069207771891,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0,0,False,False,False,False,False,1
http://botnet.phatdepzai.site/debug.dbg,39,3.8678583082175235,0.0,0.1794871794871795,0.2564102564102564,0.5641025641025641,0,0,False,False,False,False,False,1
http://117.254.3.54:32807/bin.sh,32,4.038909765557392,0.4375,0.28125,0.03125,0.25,0,0,False,False,False,False,False,1
codashop-event-terbaruu04.duckdns.org,37,4.188522622093347,0.05405405405405406,0.10810810810810811,0.2972972972972973,0.5405405405405406,0,0,False,False,False,False,False,1
http://dw.arsnb.cc:808/linux_mips,33,4.35485207383835,0.09090909090909091,0.24242424242424243,0.12121212121212122,0.5454545454545454,0,0,False,False,False,False,False,1
ekam-bitt.github.io,19,3.5368867237421693,0.0,0.15789473684210525,0.3684210526315789,0.47368421052631576,0,0,False,False,False,False,False,1
http://60.22.160.76:51420/i,27,3.652130557318382,0.5185185185185185,0.2962962962962963,0.037037037037037035,0.14814814814814814,0,0,False,False,False,False,False,1
about-trezoor-io.gitbook.io,27,3.378544559247537,0.0,0.14814814814814814,0.48148148148148145,0.37037037037037035,0,0,False,False,False,False,False,1
http://27.37.62.65:47480/Mozi.m,31,4.0667842134731025,0.41935483870967744,0.2903225806451613,0.06451612903225806,0.22580645161290322,0,0,False,False,False,False,False,1
http://61.52.218.109:60327/i,28,3.8423709931771084,0.5357142857142857,0.2857142857142857,0.03571428571428571,0.14285714285714285,0,0,False,False,False,False,False,1
alertaynotifiaci.webcindario.com,32,3.7775182662886326,0.0,0.0625,0.4375,0.5,0,0,False,False,False,False,False,1
http://117.209.82.116:54732/bin.sh,34,4.101881223476018,0.47058823529411764,0.2647058823529412,0.029411764705882353,0.23529411764705882,0,0,False,False,False,False,False,1
http://116.138.163.24:59333/bin.sh,34,3.9002708419385668,0.47058823529411764,0.2647058823529412,0.029411764705882353,0.23529411764705882,0,0,False,False,False,False,False,1
